run,processes,N,seq_time,par_time,speedup
3,4,10000000,19.173349142074600,6.252732038497930,3.066395461060020
1,8,1,9.5367431640625E-07,0.12381625175476100,0.00000770233554069431
1,8,10,6.69956207275391E-05,0.11265206336975100,0.000594712770663094
1,8,100,0.00016307830810546900,0.11672711372375500,0.00139709021240265
1,8,1000,0.0014312267303466800,0.11049771308898900,0.0129525461689333
1,8,10000,0.016086101531982400,0.12085819244384800,0.133098974978102
1,8,100000,0.1638181209564210,0.16484880447387700,0.993747704020387
1,8,1000000,1.7657208442688000,0.5923342704772950,2.9809533776359200
1,8,10000000,19.10166907310490,5.371683120727540,3.5559932787915
2,8,10,2.40802764892578E-05,0.09639978408813480,0.000249795958746568
2,8,100,0.0001628398895263670,0.10657000541687000,0.00152800864454671
2,8,1000,0.001435995101928710,0.10456514358520500,0.0137330189840804
2,8,10000,0.01597118377685550,0.11499285697937000,0.13888848574064700
2,8,100000,0.16103911399841300,0.16035795211792000,1.00424775866427000
2,8,1000000,1.7499809265136700,0.5849330425262450,2.9917628160579600
2,8,10000000,18.995450258255000,5.7744410037994400,3.2895738731691
3,8,1,9.5367431640625E-07,0.11201906204223600,0.00000851350028307391
3,8,10,2.90870666503906E-05,0.10298609733581500,0.000282436827910316
3,8,100,0.00015497207641601600,0.10874605178833000,0.00142508232590976
3,8,1000,0.0014426708221435500,0.11037802696228000,0.0130702718815273
3,8,10000,0.015700101852417000,0.1158757209777830,0.135490866593419
3,8,100000,0.16057586669921900,0.17800569534301800,0.90208274735136100
3,8,1000000,1.7246990203857400,0.6032531261444090,2.8589972362163500
3,8,10000000,18.960439682006800,5.197264671325680,3.648157421463490
1,16,1,9.5367431640625E-07,0.20312190055847200,0.00000469508366052197
1,16,10,3.00407409667969E-05,0.21613216400146500,0.000138992459107536
1,16,100,0.00017523765563964800,0.20972299575805700,0.000835567196654999
1,16,1000,0.0014739036560058600,0.21200895309448200,0.00695208213847938
1,16,10000,0.015861988067627000,0.21512103080749500,0.0737351806473138
1,16,100000,0.16778898239135700,0.31525397300720200,0.53223431505341800
1,16,1000000,1.8090298175811800,0.8059902191162110,2.2444811049504100
1,16,10000000,19.13772487640380,5.792093276977540,3.30411199565321
2,16,1,9.5367431640625E-07,0.1589968204498290,0.00000599807161997418
2,16,10,2.62260437011719E-05,0.19223427772522000,0.000136427509242964
2,16,100,0.00018477439880371100,0.15445709228515600,0.00119628303284762
2,16,1000,0.0014421939849853500,0.21756601333618200,0.00662876504868837
2,16,10000,0.016803264617919900,0.22030305862426800,0.0762734059293215
2,16,100000,0.18430495262146000,0.3195199966430660,0.57681821030859
2,16,1000000,1.7404789924621600,0.7658920288085940,2.2724861037783800
2,16,10000000,19.35740876197820,5.890931844711300,3.28596719029379
3,16,1,9.5367431640625E-07,0.14562416076660200,0.00000654887424851666
3,16,10,3.71932983398438E-05,0.16906976699829100,0.000219987872463441
3,16,100,0.0001583099365234380,0.19349217414856000,0.000818172296735321
3,16,1000,0.0014567375183105500,0.17200016975402800,0.00846939581742148
3,16,10000,0.015784025192260700,0.19359111785888700,0.0815327963742946
3,16,100000,0.16143012046814000,0.3083069324493410,0.52360198061607
